_OccupationRole,_Rank,Author,Company,Date,Employment,Occupation,Place,Review,Rating
Sales,,"Store Assistant (Former Employee) - Iredell County, NC - February 20, 2018",Isetann-Department-Store,20/2/18,Former Employee,Store Assistant,"Iredell County, NC",Supervisors friendly and understanding. Able to learn with co-workers. Nice environment of store room. friendly sales staff to mingle with. walking distance to most of shopping centres in orchard.,3
,Intern,"Internal Audit Staff (Former Employee) - Manila - February 12, 2018",Isetann-Department-Store,12/2/18,Former Employee,Internal Audit Staff,Manila,place is accessible; benefits and compensation are fair; management treats the employees fairly; happy workplace; employees are friendly and nice to work with.,3
,,"Staff (Current Employee) - Manila - February 6, 2018",Isetann-Department-Store,6/2/18,Current Employee,Staff,Manila,"Well, the company is a very good training ground for newbies because of its rules and regulations. It helps in developing self discipline and makes personality more stronger..",3
Sales,,"Sales Assistant (Former Employee) - Orchard - February 4, 2018",Isetann-Department-Store,4/2/18,Former Employee,Sales Assistant,Orchard,"It's a fun place to work as the management and the colleagues easy to get along with. However, there's time where you will get sleepy bcs the store is quiet time to time even on weekends.",5
Customer Service,,"CUSTOMER SERVICE (Former Employee) - Kuala Lumpur - December 29, 2017",Isetann-Department-Store,29/12/17,Former Employee,CUSTOMER SERVICE,Kuala Lumpur,Good company to work for. Employee will get a lot of experiences during working with this company. Teach employee how to communicate with more confident in front of other people.,5
Sales,,"Assistant sales (Former Employee) - Kuala Lumpur - December 27, 2017",Isetann-Department-Store,27/12/17,Former Employee,Assistant sales,Kuala Lumpur,"I boost my self confidence once i stepped in this fieldThey teained me how to figure out the stocks and what should i do during the opening of rhe day. Its really fun",5
,,"Credit Clerk (Former Employee) - Manila - November 19, 2017",Isetann-Department-Store,19/11/17,Former Employee,Credit Clerk,Manila,My first job was a learning and a stepping stone for me to be able to have more experience in Accounting field and to be able to be more productive in other services. The salary is not that high since it was just my first job experience but the eagerness to have a better job opportunity is the main reason why I leave the company.,3
Sales,Executive,"Sales Executive (Current Employee) - Singapore - November 16, 2017",Isetann-Department-Store,16/11/17,Current Employee,Sales Executive,Singapore,"Working in my company is wasn’t easy especially it was my first job. I was a trainee before I became a assistant supervisor after finishing college in the philippines. My first 2 weeks as a assistant supervisor was really hard because  my senior supervisor was resigning that time and she only have 1month to teach me about everything. I was thankful that I learnt a lot of things from her especially being independent by handling a lot of departments (men’s apparels,shoes,intimate, ladies handbag, ladies shoes, and including cash counter). I failed on handling my first store promotion but I didn’t stop learning from all my mistakes. It was a really good experience working with my company because I’ve  learnt  a lot and because of that i want to enhance my knowledge more on different areas customer relations and others.",4
Analysts,,"Finance and Budget Analyst (Former Employee) - Manila - November 16, 2017",Isetann-Department-Store,16/11/17,Former Employee,Finance and Budget Analyst,Manila,Getting to work in a head office of one of the biggest chain of department store in the Philippines is a really big challenge for everybody who is just on the start of her career. And I was lucky to be a part of it and big responsibilities.,4
,,"Cash Register Clerk (Former Employee) - Quezon City - November 14, 2017",Isetann-Department-Store,14/11/17,Former Employee,Cash Register Clerk,Quezon City,"isetann dept store and supermarket is a good company. If i would be given a chance to work here again, i’ll grab that opportunity because isetann dept store and supermarket is best when it comes to benefits.",5
Sales,,"Assist store staff (Former Employee) - Philippines - November 8, 2017",Isetann-Department-Store,8/11/17,Former Employee,Assist store staff,Philippines,Good place to work. Good experience for me. The store is a good learning experience. Csutomers come from different parts of the world. All the best to all who is willing to work there.,3
,,"Stock man (Former Employee) - carriedo - October 6, 2017",Isetann-Department-Store,6/10/17,Former Employee,Stock man,carriedo,"To obtain challenging position, one that will require and develop more of my knowledge and skills that allow exposure and career  advancement in the foreseeable future.because  i have a lot of experience that i learned here                                                       and i enjoying my work                          .",3
,,"HR Staff (Current Employee) - Manila - September 22, 2017",Isetann-Department-Store,22/9/17,Current Employee,HR Staff,Manila,"Experiences can be gained in this Company. Self discipline and patience is needed to be productive and effective in the workplace.it is still best to do your job with passion at all times",4
,Part-time,"Department Secretary (Former Employee) - philippines - August 27, 2017",Isetann-Department-Store,27/8/17,Former Employee,Department Secretary,philippines,"i learned how to handle a customer complain, i learned how to make a very useful and interesting promo, i leaned also how to coordinate with the different department like when i make promo i need to coordinate with the budgeting department,auditor,admin and to the store manager for implementing the promo its hard but enjoy. we also organized mini concert during sale and we also organized a competition",5
,Officer,"IT-OFFICER (Former Employee) - Manila - August 22, 2017",Isetann-Department-Store,22/8/17,Former Employee,IT-OFFICER,Manila,The ICT department was able to handle people with care but not supported by the top management. Problems are handled over the head and can easily denied approvals without analyzing the situation,3
,,"Events Promoter (Former Employee) - Orchard - August 21, 2017",Isetann-Department-Store,21/8/17,Former Employee,Events Promoter,Orchard,It was interesting to learn about the various produces from Niigata especially their deserts/snacks as well as their famous rice. Preparing samples was also an interesting experience. Though having to stand throughout the day was exhausting for me.,3
Sales,,"Sales Assistant (Former Employee) - Cubao - August 8, 2017",Isetann-Department-Store,8/8/17,Former Employee,Sales Assistant,Cubao,Learn about how to communicate properly to other people specially on our customer. To be a good employee and co-worker to the other people.Retail industry is one of the best place for me because of meeting the all kind of person that what you meet. Also develop your self confidence.,3
,,"Cash Register Clerk (Former Employee) - Recto - July 23, 2017",Isetann-Department-Store,23/7/17,Former Employee,Cash Register Clerk,Recto,"Isetann,give me best experience, working together with the counter coordinator.It was friendly environment which you can enjoyed working with different person. Also the way they manage.",5
Customer Service,,"Customer Service Representative (Former Employee) - Manila - June 25, 2017",Isetann-Department-Store,25/6/17,Former Employee,Customer Service Representative,Manila,"long hours work, i learned to communicate  to difficult people,good management,the hardest part is when you fail to finish your report,the most enoyable is your manager is nice to their team.",4
Sales,,"Retail Assistant (Former Employee) - Jurong East - June 19, 2017",Isetann-Department-Store,19/6/17,Former Employee,Retail Assistant,Jurong East,will make a lot of friends however lack of career progression. also work schedule is extremely tight. told to work 14 days straight without off days during sales period.,3
,,"Expense Processing Clerk (Former Employee) - Manila, Philippines - May 31, 2017",Isetann-Department-Store,31/5/17,Former Employee,Expense Processing Clerk,"Manila, Philippines",I got to adjust to the new time schedule  where I had to be in the office at 8AM and left at 5PM since my previous jobs had a flexible time schedule. I truly  learned to be on time.,3
,,"Check preparation clerk (Former Employee) - Manila Philippines - May 25, 2017",Isetann-Department-Store,25/5/17,Former Employee,Check preparation clerk,Manila Philippines,It was a very challenging experience. I learned to work multi tasking but be sure you are doing it correctly. It was fun also because we can suggest what we think is better in our dept. We have also good relationship to our manager.,4
Customer Service,Officer,"Customer Service Officer (Former Employee) - Serangoon - April 5, 2017",Isetann-Department-Store,5/4/17,Former Employee,Customer Service Officer,Serangoon,"In Isetan, i have learnt to do cashiering, customer service and stock take. The hardest part of this job is I have to face nasty customer. Overall Isetan is a good company to work for.",4
Customer Service,,"Customer Service Representative (Current Employee) - Kuala Lumpur - February 23, 2017",Isetann-Department-Store,23/2/17,Current Employee,Customer Service Representative,Kuala Lumpur,"I am enjoy working at here with good environment, i also learn a lot of thing when work here such as how to serves customer.",4
Sales,,"sales escutive (Current Employee) - new york - January 9, 2017",Isetann-Department-Store,9/1/17,Current Employee,sales escutive,new york,"*good communication skills*fast learner*always believe in hands - on practical solutions*highly motivated with strong desire for excellence*always open to new ideas for improvement",5
Sales,,"Sales Promoter (Former Employee) - Kuala Lumpur - January 4, 2017",Isetann-Department-Store,4/1/17,Former Employee,Sales Promoter,Kuala Lumpur,"My daily task for this job is to serve customer and collect money from our lovely customer. In this job I had meet different kind of people per day and because of this I have learn to have good communication with them and also provide the best services to customer. The hardest part of this job is the way of interaction and communication with different kind of people, although there will have some customer would like to ask question but I will give the best explanation to them and sometime I will seek help from my supervisor. The most enjoyable part of the job is the good feedback from customer.",5
,,"General Helper- Displayer (Former Employee) - Manila - October 16, 2016",Isetann-Department-Store,16/10/16,Former Employee,General Helper- Displayer,Manila,"On my previous job, I sometimes would go on over time just to make sure i complete all my task and they are done to my perfection. I show up for work everyday, and never absent. I give my all best to be a cooperative to my work.",3
,,"Supervisor (Current Employee) - The Garden, Mid Valley, Kuala Lumpur - October 13, 2016",Isetann-Department-Store,13/10/16,Current Employee,Supervisor,"The Garden, Mid Valley, Kuala Lumpur","Improve Leadership Skills, Improve Sales and Marketing Skills, Improve Service Skills, Learn about how to attract customer to come and satisfy to shopping at our retail store",4
,,"Cashier (Former Employee) - Quezon City - September 22, 2016",Isetann-Department-Store,22/9/16,Former Employee,Cashier,Quezon City,"a busy workingdays everydayive learned how to be more responsible and awarebe nice at co workerscare about the managementthe hardest part of the job is none for me. coz for me if you enjoyed your job you will never feel tired, infact you will be fun doing workswhe customer smilled at me after i assist them.",4
,,"Merchandising clerk (Former Employee) - recto manila - September 21, 2016",Isetann-Department-Store,21/9/16,Former Employee,Merchandising clerk,recto manila,more on inventory making purchase order of item communitating our supplier counting all item that assigned me talking to my stock clerk about the status         of the item .,3
,,"Counter Checker (Former Employee) - Quiapo - September 20, 2016",Isetann-Department-Store,20/9/16,Former Employee,Counter Checker,Quiapo,"im a counter checker i need to check the money in the box when my partner (cashier)  need to the drop money i will clean the counter hard working in isetann department store",5
Customer Service,,"Cashier/Retail Sales/Customer Service (Former Employee) - Metro Manila Philippines - September 19, 2016",Isetann-Department-Store,19/9/16,Former Employee,Cashier/Retail Sales/Customer Service,Metro Manila Philippines,Working with ISetann Department gives me an opportunity to gather more experience and learned more about of different.Working as well in a big environment will help you improved in performing well in providing customer satisfaction.,3
,,"Buyer Trainee (Former Employee) - Manila - September 4, 2016",Isetann-Department-Store,4/9/16,Former Employee,Buyer Trainee,Manila,I learned and experience a lot on here. always listen to workmates who are older and stayed with the company longer than you. good follower is a good leader.,4
,,"Timekeeper (Former Employee) - Manila - August 9, 2016",Isetann-Department-Store,9/8/16,Former Employee,Timekeeper,Manila,"With Good Environment I learned how to interact with other customerThe Management is strictmy co workers are kind The hardest part is the cut off The most enjoyable part is breaktime",5
Sales,,"Sales Supervisor (Former Employee) - Serangoon - July 5, 2016",Isetann-Department-Store,5/7/16,Former Employee,Sales Supervisor,Serangoon,"It was quite fun experience working in a retail.The excitement of dealing with the customers' needand feeling accomplished once we delivered our quality serviceand made our customer feel happy and satisfied. I've learned lots of things, e.g 1) To have more patience in dealing with customers. 2) Know and understand their needs.3. And that our BOSS is our CUSTOMERS.",4
Sales,,"Saleslady/ Cashier (Former Employee) - Manika - May 31, 2016",Isetann-Department-Store,31/5/16,Former Employee,Saleslady/ Cashier,Manika,"Gives me knowldege on customer sales and customer satisfaction.The management is considerable. My co co workers are cooperative and hard working. The hardest part of the job is working in long hours.",4
Marketing,,"marketing secretary (Current Employee) - Manila - April 8, 2016",Isetann-Department-Store,8/4/16,Current Employee,marketing secretary,Manila,productive and fun workplace comfortable and good environment very challenging i hope ill find better than here because salary is not enough for me,5
Sales,,"Sales Associate (Former Employee) - Singapore - March 1, 2016",Isetann-Department-Store,1/3/16,Former Employee,Sales Associate,Singapore,"Received and processed cash and credit payments for in-store purchases.Maintained friendly and professional customer interactions.Maintaining an up-to knowledge of make-up and beauty products.Working quickly and accurately in time pressure conditions.Understanding of the Make-Up of the clients/customers after interacting with them.",5
,,"Warehouse Personnel (Former Employee) - Manila - February 29, 2016",Isetann-Department-Store,29/2/16,Former Employee,Warehouse Personnel,Manila,nice management.nice co-workers.overtime with pay.no pressure. i learned different products the Philippines. the hardest part on it was the time of inventory arrives.,4
,,"Stock Clerk (Former Employee) - Manila - February 8, 2016",Isetann-Department-Store,8/2/16,Former Employee,Stock Clerk,Manila,"6 days of work for weekly, one day off. i learned to how to manage atleast a section, it is an experience though i'd work for 9 months. i learned how to handle people as one of their superior. i learned how a retail industry is to be manage to handle any problems or situations. i met friends, knowing them was my pleasure even though they have different personalities. mingling with them was the best. there is no easy jobs, there is always a hard part.it is when i am pressured by the sales, when the manager is angry to you that is a part of the work.  i enjoyed even though it is hard, i'd better think it is enjoyable rather than you think it is very hard. its just keeping you from more pressure.",4
Sales,,"Retail Assistant (Former Employee) - Quezon City, PH - February 1, 2016",Isetann-Department-Store,1/2/16,Former Employee,Retail Assistant,"Quezon City, PH","fun and you learned things a lot. has friendly environment.to cope those things you've never been done before like carrying those replenish clothing. getting your salary on time :)",3
,,"visual merchandising display (Former Employee) - Kuala Lumpur, M14 - January 14, 2016",Isetann-Department-Store,14/1/16,Former Employee,visual merchandising display,"Kuala Lumpur, M14","check the display make sure clean and regularlearn in more detail about the scope of visual display workvery organized and strict management",4
,,"deduction clerk (Current Employee) - Santa Cruz, 04A - January 13, 2016",Isetann-Department-Store,13/1/16,Current Employee,deduction clerk,"Santa Cruz, 04A","in this kind of work place i can say that isetann is good.. we consume 8 hours per day. we always encounter pressure and stress. thats why i was able to learn how to manage my time and how to mange my work systematically. my co-workers are approachable, helpful and at the same friendly. the hardest part of my job is preparing the monthly report and submit it the said deadline. the most enjoyable part of my job is costing the deductions.",3
Sales,,"Sales Clerk (Former Employee) - Quezon City, Phillippines - January 12, 2016",Isetann-Department-Store,12/1/16,Former Employee,Sales Clerk,"Quezon City, Phillippines",Everyday is very typical. I learned more patience and cooperation. Management is good. My co-workers is supportive and helpful.Hardest part of the job is the working place is very far. And the most enjoyable part of the job is plenty of clients are coming.,3
,,"Promoter (Former Employee) - Kuala Lumpur, M14 - October 23, 2015",Isetann-Department-Store,23/10/15,Former Employee,Promoter,"Kuala Lumpur, M14","i have learned how to be patient a very good boss and also very understanding and cooperative boss the co-works all are all have the give n take pollices the hardest part of this job is have to go bk home late when it comes to promotion weeks.  the most enjoyable part is there are 2 shift in this job",5
,,"Cashier (Former Employee) - manila - October 5, 2015",Isetann-Department-Store,5/10/15,Former Employee,Cashier,manila,my manager is very supportive and disciplinary but then he allows us to enjoy our work and interact with our colleague in the most comfortable way .,2
,,"Cash Register Clerk (Former Employee) - recto manila - September 9, 2015",Isetann-Department-Store,9/9/15,Former Employee,Cash Register Clerk,recto manila,"A typical day at work is to wake up in the morning with a smile.I enjoy this company, i have many different types of people that i encountered this like customers., my co employee , manager and supervisors are help us and teaching well.      The hardest part of my job is sometimes the customer is very brave would always have priority so customer is always right but sometimes i was right. the most enjoyable part of my job is i was included in this company.",4
,,"encoder (Former Employee) - Manila Philippines - August 23, 2015",Isetann-Department-Store,23/8/15,Former Employee,encoder,Manila Philippines,"•	Entering data•	Operating Equipment•	Administrative Task and Other  Duties•       Registering deliveries, making follow ups of stocks needeed",4
Administration,Administration,"Admin Staff (Current Employee) - Manila, P00 - August 21, 2015",Isetann-Department-Store,21/8/15,Current Employee,Admin Staff,"Manila, P00","Working environment is good , people here are willing to give their hands when you need them.i learned here how to be more dedicated to work and being patience in every aspect of my job.",3
Sales,,"Sales Assistant (Former Employee) - Tampines Mall - June 5, 2015",Isetann-Department-Store,5/6/15,Former Employee,Sales Assistant,Tampines Mall,"Being a sales assistant, i had gained many interpersonal experiences. I also dealt with customer service and had the opportunity to be a cashier and learn the various payments that is accepted. I enjoyed tending to the customers most. The hardest part of the job is that it is very taxing to be on my feet the whole day.",4
Finance/Accounts,,"Accounts Assistant and Secretary (Former Employee) - Manila, Philippines - April 25, 2015",Isetann-Department-Store,25/4/15,Former Employee,Accounts Assistant and Secretary,"Manila, Philippines","I am part time employee on this company due to my review lessons. I start as early as 8am to 12noon. I am in-charge of monitoring daily expenses and mostly, carry out secretarial works like attending phone calls, greeting visitors, general administrative duties etc.My co-workers are fun to work with. We didn't have any dull moments in my entire stay even though just a short period of time.In my case, it is hard to go to work every morning and attend me review classes in the afternoon but I enjoyed most the part that I've learned a lot and applied what I study in practical.",4
,,"Counter Coordinator (Former Employee) - Manila, P00 - April 23, 2015",Isetann-Department-Store,23/4/15,Former Employee,Counter Coordinator,"Manila, P00",I became flexible in terms of dealing with other people because I encounter different kind of people everyday. I had fun working with them.,3
Sales,,"Sales Representative (Former Employee) - Cubao quezon City Philippines - April 17, 2015",Isetann-Department-Store,17/4/15,Former Employee,Sales Representative,Cubao quezon City Philippines,Aquino's Industry Montanara Sports Gears is good management for their staff. I learn  more in this company in dealing customer and become a friendly person. I enjoyed when i give my best service to the customer,4
,,"Receiving Clerk (Former Employee) - Cubao,Quezon City - March 7, 2015",Isetann-Department-Store,7/3/15,Former Employee,Receiving Clerk,"Cubao,Quezon City","Receive all stock of the store and make a fifo method ordering and inventory,to minimize and maintain the standard of the company,be a part of the team to have a good leadership,friendly and happy person. hardest part you must always check the quality each items and expiration of the product,i enjoy a lot with all the workers got a unity and got a team work.",4
,,"Receiving Clerk (Former Employee) - Philippines, recto manila - February 25, 2015",Isetann-Department-Store,25/2/15,Former Employee,Receiving Clerk,"Philippines, recto manila","•	Processing the sales invoice•	Can work as a team•	Can work individual  physical and intellectual position•	Can communicate to supplier and customer as well•	Assign in back office department",5
,,"Merchandising Clerk (Current Employee) - Manila, P00 - February 16, 2015",Isetann-Department-Store,16/2/15,Current Employee,Merchandising Clerk,"Manila, P00","Work load thus you have to be flexible as regards to my position. I learned to manage my time during work hours.I made mistake but i learned from them and i know that i will used this as my stepping stone to succeed.",2
,,"Merchandising Clerk/ Assistant Buyer (Former Employee) - Manila, P00 - October 19, 2014",Isetann-Department-Store,19/10/14,Former Employee,Merchandising Clerk/ Assistant Buyer,"Manila, P00","Fun workplace with friendly and approachable co-workers, with a typical and fixed working hours. The management is quite strict when it comes to rules and the company is giving typical salary for a single person only. All of us  at the office have one-day off,The only pressure is when having presentation with the chairman that he shouts when you have an error specially when he's not in the good mood, but he's also approachable. I then appreciate his kind of anguish which made me a stronger person to stay more focused on my work with perfection.",4
Sales,,"SALES (Former Employee) - philippines - August 28, 2014",Isetann-Department-Store,28/8/14,Former Employee,SALES,philippines,exiting f'un and interesting learn a new thing.meet the other people.,4
Sales,,"Retail sales associate (Former Employee) - Singapore, S00 - May 20, 2014",Isetann-Department-Store,20/5/14,Former Employee,Retail sales associate,"Singapore, S00","Was very happy when i was working there a very friendly environment , and my co workers was very supportive.i have learned many good things from this company.",5
,,"Trainee (Former Employee) - Singapore, S00 - May 9, 2014",Isetann-Department-Store,9/5/14,Former Employee,Trainee,"Singapore, S00","ISETAN SINGAPORE LTD is a leading fashion retailer in Singapore. I worked as a trainee from Sep 2013 to March 2014 in the field of marketing, the key responsiblites includes the Cash handling and Stock maintaince",4
Sales,,"Store assistant (Former Employee) - scott road - April 27, 2014",Isetann-Department-Store,27/4/14,Former Employee,Store assistant,scott road,"understanding bosses, fun staff, good work timing, great environment to work at.",2
,,"Cashier (Former Employee) - Manila, Quiapo Philippines - April 24, 2014",Isetann-Department-Store,24/4/14,Former Employee,Cashier,"Manila, Quiapo Philippines",I enjoyed to work with different kinds of people in a fast-paces environment.,3
Sales,,"Sales Representative (Former Employee) - Manila, AR - March 22, 2014",Isetann-Department-Store,22/3/14,Former Employee,Sales Representative,"Manila, AR","The store is inside the mall, we meet a lot of people and gain more friends with colorful surrounding.",4
,,"Cash Register Clerk (Former Employee) - Manila, P00 - March 15, 2014",Isetann-Department-Store,15/3/14,Former Employee,Cash Register Clerk,"Manila, P00",As per my experience in in my company I gain more knowledge when it comes to Clerk As for my co workers sometimes you can not always please somebody when it comes to argue especially if there is a deadline need to push them to give what documents or reports you may need from them. Too many people I encounter regarding how to entertain and give them full support when they need something especially on their primary needs. I enjoy working as a Admin Clerk and hope you can give me a chance to be part of this business. I Try my best to contribute whatever ideas I may have as for my experience. The hardest part of the job for me nothing as long as my company pay me every month no problem for the report.,5
,,"Cashier (Former Employee) - Manila, P00 - January 12, 2014",Isetann-Department-Store,12/1/14,Former Employee,Cashier,"Manila, P00","for almost two decade of my work,ive learned a lot on how to communicate other people and how to handle complains, how to be more patient with my co-worker most especially with customers and most of all how important to have a job",5
,,"Cashier (Former Employee) - philippines - December 7, 2013",Isetann-Department-Store,7/12/13,Former Employee,Cashier,philippines,"8 hours work for accepting payment in supermarket,hardest part is ni lunch break for theres a lot customers waiting and no subtitute available..my co-workers are friendly..bonding to go outside after duty..",5
,,"CASH REGISTERED CLERK (Former Employee) - Manila, P00 - November 23, 2013",Isetann-Department-Store,23/11/13,Former Employee,CASH REGISTERED CLERK,"Manila, P00",includes financial matters to which i learned how to handle customers directly.,3
,,"Stock Controller (Former Employee) - Manila, Philippines - October 11, 2013",Isetann-Department-Store,11/10/13,Former Employee,Stock Controller,"Manila, Philippines","A fun work day.I learned how to manage stocks.A good management.my co-workers were very nice and helpful.The hardest part of the job was to accounted stocks.the most enjoyable part of the job was with my co- workers who helped each other.",4
Project Management,Executive,"Project Executive (Former Employee) - Kuala Lumpur, M14 - August 26, 2013",Isetann-Department-Store,26/8/13,Former Employee,Project Executive,"Kuala Lumpur, M14","set up meeting between in-house interior designer and consignment brand interior designercoordinate meeting between departmentsassist General Manager in clerical works",3
,,"Cash Register Clerk (Former Employee) - Manila, Philippines - June 7, 2013",Isetann-Department-Store,7/6/13,Former Employee,Cash Register Clerk,"Manila, Philippines","cash handling, dealing with the clients, learned how to operate the cas register clerk",5
Sales,,"SALES ASSOCIATE (Former Employee) - Manila, P00 - June 3, 2013",Isetann-Department-Store,3/6/13,Former Employee,SALES ASSOCIATE,"Manila, P00","In this company I worked here as a sales associate my task here is to display items,replenish items making orders.I've learned here a lot because im making orders and know how to persuade the customer to buy reached the quota.The management i like also because they are giving motivations to the employess about  in my co workers its good also because we have unity.The hardest part in my job is when the time we didnt reached our quota indeed you push a lot in yourself but the other collegues don think about it beacause its unfair.The most enjoyable part in my job is when the management gives rewards to the staff dont have absent late because it will motivate you.",3
Sales,,"Sales Clerk (Former Employee) - QUEZON CITY - March 14, 2013",Isetann-Department-Store,14/3/13,Former Employee,Sales Clerk,QUEZON CITY,I didn't learneda lot were not close of my co worker.They are very strict in the employee,1
,,"Advertising and Promotions Assistant (Former Employee) - Manila Philippines - December 8, 2012",Isetann-Department-Store,8/12/12,Former Employee,Advertising and Promotions Assistant,Manila Philippines,"Being a part of Advertising Team in Department Store is very challenging. Our daily routine is to check and be sure that all Store Display is in order, promotions of merchandiser, check the situation of the product being advertise and so on. I have learned a lot in this company because I adopt what I have learned in school because i was some quite a newly graduate at that time. Planning and Time Management is the Important thing that I have learned. Advertising Team in Isetann is a part of Management and I can say that they are equal and all the staff is very nice and friendly. The hardest part of the job is to put a big event in order to create a impact for everybody's awareness, and I might say that after creating a big event and put in in place and the result is really good is the happiest and enjoyable time for our Team.",5
Sales,,"sales lady (Former Employee) - manila philippines - October 29, 2012",Isetann-Department-Store,29/10/12,Former Employee,sales lady,manila philippines,customers from a Difference walks of life.learn to be patience.good management.lots of good co workers.hardest is when there are customers that doesn't cooperate.enjoy being with my co workers and meeting new people,4
Sales,,"Sales Representative (Former Employee) - Cubao,Metro Manila - August 13, 2012",Isetann-Department-Store,13/8/12,Former Employee,Sales Representative,"Cubao,Metro Manila","I learned how to assist costumer without hesitation.cooperatively working with someone with different backgrounds.hardest part is understanding with a co-worers with hard headed,boastful,lazy,untrustworthy.enjoyable is bonding with superiors in breaktime,learning more new things in work.",2
Sales,,"Sales Clerk (Former Employee) - Manila,Philippines - July 3, 2012",Isetann-Department-Store,3/7/12,Former Employee,Sales Clerk,"Manila,Philippines","My typical day at work is not same because everyday I knew a lot of people different people that I assist but the work is same there's a schedule when i have a inventory and etc.I learned from that company is how to be a good sales clerk. I learned from myself also because I know that if you love your job you can do your part as employee in that company.The management is good and have benefits and they are equal in their employee.My co-workers is friendly and they teaches me how can I do my part when I'm new in the company and I enjoy my job and serve customer.My hardest part of job is when I have inventories because you should know and checked it carefully the items, for me it is OK because I challenge myself to do that job..For me the most enjoyable part of my job is when I assist a customer complete and ensure that each customer receives outstanding services and do my part as employee.",5
Customer Service,Officer,"Customer Service Officer (Current Employee) - Orchard Paragon - August 11, 2017",M1-Limited,11/8/17,Current Employee,Customer Service Officer,Orchard Paragon,"M1 Limited is one of the major telco in Singapore, highly focus on customer service, conduct monthly transaction monitoring to ensure all customer service officer provide the excellent service to customer. Managed to pass the transaction monitoring every month. Handling customer who are on frustrated due to bill issue, always stay calm and explain/provide solution to customer, is a very challenging part for things that related to money.  Overall, even though the work place is abit stressful, but colleague & management are fun and helpful.",4
Finance/Accounts,Director,"Account Director (Current Employee) - Singapore - August 9, 2020",M1-Limited,9/8/20,Current Employee,Account Director,Singapore,"It was a fun and energetic company in the past but after recent changes, the culture and the working environment changed. Profit margins is lowered due to the macro environment.",3
Customer Service,,"Customer Service Representative (Current Employee) - Jurong West - June 13, 2020",M1-Limited,13/6/20,Current Employee,Customer Service Representative,Jurong West,"Do not recommend your friends to work in M1. I am one of the employees in M1. It takes me alot of courage to write this review as i am afraid once i am being found out, i will be abused by those Team Managers in the call centre again. Those team managers are mostly Filipinos and Malaysians. They are biased and not helpful at all. They will scold you stupid and brainless infront of everyone in the call centre. If i have the chance to record, i will record it and email it to Ministry Of Manpower for justice to show the other side of M1. They have no right to use abusive words at anyone. I really hope someone is reading my review and investigate this matter. If we dont see any improvement in our welfare, i will not hesitate to write my experience to the press.",1
Customer Service,,"Customer Service Representative/Sales Representative (Current Employee) - Singapore - June 6, 2020",M1-Limited,6/6/20,Current Employee,Customer Service Representative/Sales Representative,Singapore,Being the first company who hired me in Singapore. It's not just a company but family to me. I may leave the place for now but will always be a part who I become and as an individually.,5
Customer Service,,"Customer Service Specialist (Current Employee) - Jurong East - May 21, 2020",M1-Limited,21/5/20,Current Employee,Customer Service Specialist,Jurong East,Not sure about other depts. But working in Customer Service has alot of inflexibility and not fun. Chances to get promoted is pretty low as the high turnover rate always apply to the low positions (not the supervisor level). They have trainings but those trainings dont really help in career advancement (like useful certification),1
Technician,,"Technical Specialist (Former Employee) - Aljunied - May 17, 2020",M1-Limited,17/5/20,Former Employee,Technical Specialist,Aljunied,"Teamwork was always essential to ensure the networks were up and running.  The hardest part was carrying the equipment (sometimes can be 20kg) up to the rooftop of a building for replacement. Everyone was willing to help each other when it was needed.",5
Sales,Executive,"Retail Executive (Former Employee) - Tampines - May 14, 2020",M1-Limited,14/5/20,Former Employee,Retail Executive,Tampines,"I've worked at M1 Shop for 2years. And it was a great start/experience for me, as I'm a foreigner. We had teamworks, a lot of teamworks, they provided me good benefits/compensation, incentives/perks, on-time salary and most specially, they treated me as their family.",5
Customer Service,Officer,"Customer Care Officer (Former Employee) - Jurong East - May 5, 2020",M1-Limited,5/5/20,Former Employee,Customer Care Officer,Jurong East,"What I love about M1 is the people inside and also the way they cascade   information to all employees, be it new products or any work related issues.",4
Technician,,"Technical Support (Former Employee) - Jurong East - April 4, 2020",M1-Limited,4/4/20,Former Employee,Technical Support,Jurong East,"colleagues are friendly willing to teach and help, however the management is not that good. When not enough staff still dont want to hired more people.",3
Customer Service,Officer,"CUSTOMER SERVICE OFFICER (Former Employee) - Singapore - March 18, 2020",M1-Limited,18/3/20,Former Employee,CUSTOMER SERVICE OFFICER,Singapore,"typical call centre.not so much in culturehardest of the job are the customers.they pay OT and sometime they ask employees to do a mandatory OT.You work hard they pay you better.",3
Engineering,,"Principal Engineer (PE) II / Manager (Former Employee) - Singapore - February 13, 2020",M1-Limited,13/2/20,Former Employee,Principal Engineer,Singapore,"M1 is a good company.  a very friendly environment, competitive but a bit stressful too.The bosses are all different, others are technically inclined, others are good in managing people. One thing I can complain is about the salary. If you are single, salary may be ok for your living expenses in Singapore. But if you have a family, salary may not suffice especially if you are just starting.",3
Customer Service,,"Customer Service Specialist (Current Employee) - Jurong East - February 3, 2020",M1-Limited,3/2/20,Current Employee,Customer Service Specialist,Jurong East,Was exposed to different roles and tasks. Support was good. Challenging at time once there's high volume. Learn to handle different customers. Forces you to multitask,3
Customer Service,Officer,"Customer Service Officer (Current Employee) - Jurong East - December 23, 2019",M1-Limited,23/12/19,Current Employee,Customer Service Officer,Jurong East,operation is separated with the other department. benefits are okay. depending on your direct manager leadership style as you need to be very adaptive to change,3
